Fighting,Global_Sales
THQ,72.85999999999999
Namco Bandai Games,61.22
Nintendo,53.35000000000001
Capcom,33.01
Electronic Arts,31.389999999999997
Sony Computer Entertainment,28.15
Atari,25.98
Acclaim Entertainment,16.800000000000008
Midway Games,16.51
Sega,14.679999999999998
Warner Bros. Interactive Entertainment,13.69
Virgin Interactive,7.979999999999999
Ubisoft,7.07
GT Interactive,6.84
Tomy Corporation,4.130000000000001
Tecmo Koei,3.8000000000000003
Square Enix,3.2
Activision,2.86
PQube,2.799999999999999
Eidos Interactive,2.7300000000000004
Arena Entertainment,2.67
SNK,2.5899999999999994
Microsoft Game Studios,2.4299999999999997
Ignition Entertainment,2.2599999999999993
Takara,1.8000000000000003
Konami Digital Entertainment,1.7300000000000006
SquareSoft,1.55
Human Entertainment,1.46
Atlus,1.1900000000000002
Rage Software,1.1
Takara Tomy,1.05
Gotham Games,0.97
505 Games,0.9099999999999999
Arc System Works,0.8400000000000001
Ubisoft Annecy,0.77
Rising Star Games,0.72
SNK Playmore,0.7000000000000002
Titus,0.68
Nippon Ichi Software,0.63
Sammy Corporation,0.6099999999999999
3DO,0.55
Infogrames,0.55
Vivendi Games,0.49999999999999994
Crave Entertainment,0.47000000000000003
Ultravision,0.47
Empire Interactive,0.47
New,0.36
Marvelous Entertainment,0.36
Universal Interactive,0.31
Marvelous Interactive,0.30000000000000004
Unknown,0.29000000000000004
Zoo Digital Publishing,0.28
Majesco Entertainment,0.28
Vic Tokai,0.27
D3Publisher,0.26
Banpresto,0.25
Spike,0.25
Xing Entertainment,0.24
Ocean,0.22
SouthPeak Games,0.21000000000000002
Interplay,0.21
AQ Interactive,0.19
Deep Silver,0.19
Global Star,0.18
Agetec,0.17
Hudson Soft,0.17
JVC,0.12
Angel Studios,0.12
BAM! Entertainment,0.11
Time Warner Interactive,0.11
Aqua Plus,0.1
Natsume,0.1
Asmik Ace Entertainment,0.1
Game Factory,0.09
Cloud Imperium Games Corporation,0.08
NewKidCo,0.07
Screenlife,0.07
Midas Interactive Entertainment,0.07
Enterbrain,0.07
Falcom Corporation,0.06
Take-Two Interactive,0.06
Irem Software Engineering,0.06
Ecole,0.06
Sunsoft,0.06
Grand Prix Games,0.06
Imagineer,0.05
Yuke's,0.05
5pb,0.04
Playmore,0.04
Kokopeli Digital Studios,0.03
Broccoli,0.03
ESP,0.03
Tryfirst,0.03
G.Rev,0.03
Metro 3D,0.02
Yeti,0.02
Sunrise Interactive,0.02
Taito,0.01
Nitroplus,0.01
Jaleco,0.01
