Racing,Global_Sales
Nintendo,151.29999999999995
Electronic Arts,145.77
Sony Computer Entertainment,110.56999999999998
THQ,40.17
Codemasters,34.62000000000002
Microsoft Game Studios,33.08
Sega,21.830000000000005
Take-Two Interactive,21.249999999999996
Activision,17.310000000000002
Ubisoft,15.830000000000002
Acclaim Entertainment,14.719999999999994
Atari,12.729999999999999
Vivendi Games,11.280000000000003
Disney Interactive Studios,9.12
Namco Bandai Games,7.01
Midway Games,6.559999999999999
Empire Interactive,5.720000000000001
Unknown,4.51
Psygnosis,4.13
Eidos Interactive,3.9899999999999993
Infogrames,3.6700000000000004
Zoo Digital Publishing,3.2199999999999993
Capcom,2.3799999999999994
TDK Mediactive,2.3200000000000003
GT Interactive,2.0199999999999996
Video System,1.9900000000000002
Bethesda Softworks,1.9300000000000002
SouthPeak Games,1.79
Black Bean Games,1.7700000000000002
989 Studios,1.72
Crave Entertainment,1.6500000000000001
Play It,1.52
Slightly Mad Studios,1.3800000000000001
ASC Games,1.31
Genki,1.31
Accolade,1.3
Milestone S.r.l.,1.2800000000000002
Konami Digital Entertainment,1.2700000000000002
LEGO Media,1.21
Jester Interactive,1.1099999999999999
ASCII Entertainment,1.08
Xplosiv,1.07
Warner Bros. Interactive Entertainment,0.98
Kemco,0.95
Majesco Entertainment,0.8899999999999999
System 3 Arcade Software,0.8200000000000002
BAM! Entertainment,0.78
Titus,0.75
Zoo Games,0.6500000000000001
D3Publisher,0.64
Takara,0.6200000000000001
Deep Silver,0.6100000000000001
Midas Interactive Entertainment,0.61
Hasbro Interactive,0.56
Gathering of Developers,0.56
Ignition Entertainment,0.53
Rebellion,0.49
LucasArts,0.47
Jaleco,0.4600000000000001
SquareSoft,0.44
Tecmo Koei,0.44
TYO,0.42
Global Star,0.42
XS Games,0.41000000000000003
Pioneer LDC,0.41
Mattel Interactive,0.39
"Destination Software, Inc",0.39
Human Entertainment,0.38
Focus Home Interactive,0.37
Interplay,0.37
Ocean,0.35
Destineer,0.33
Playmates,0.28
Storm City Games,0.27
Nordic Games,0.26
Liquid Games,0.26
ValuSoft,0.24
Vatical Entertainment,0.22
Metro 3D,0.21
BPS,0.2
Evolved Games,0.19
Gremlin Interactive Ltd,0.19
Valcon Games,0.18000000000000002
Crystal Dynamics,0.17
Rage Software,0.17
Zushi Games,0.16999999999999998
Square,0.16
BMG Interactive Entertainment,0.15
Mindscape,0.13
Rondomedia,0.13
FunSoft,0.12
Atlus,0.12
Syscom,0.11
MTO,0.1
Media Rings,0.1
PQube,0.1
Takara Tomy,0.09
Game Factory,0.09
Data Design Interactive,0.09
Popcorn Arcade,0.09
JVC,0.09
Telstar,0.08
Tomy Corporation,0.07
Big Ben Interactive,0.060000000000000005
505 Games,0.060000000000000005
Conspiracy Entertainment,0.06
SCi,0.05
Dusenberry Martin Racing,0.05
Avalon Interactive,0.05
Milestone S.r.l,0.05
The Learning Company,0.05
1C Company,0.04
Imagineer,0.04
Banpresto,0.04
Agetec,0.04
RTL,0.03
Phenomedia,0.03
Vir2L Studios,0.03
Nobilis,0.03
Xicat Interactive,0.03
Yuke's,0.03
bitComposer Games,0.03
Sunrise Interactive,0.02
Virgin Interactive,0.02
O-Games,0.02
Wanadoo,0.02
Encore,0.02
Mastertronic,0.01
