Name,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Wii Sports,1,2006.0,41.49,29.02,3.77,8.46,82.74
Grand Theft Auto V,2182,10069.0,23.46,23.04,1.3900000000000001,8.03,55.92
Super Mario Bros.,203,3984.0,32.48,4.88,6.96,0.99,45.31
Tetris,162,3977.0,26.169999999999998,2.9499999999999997,6.029999999999999,0.69,35.84
Mario Kart Wii,3,2008.0,15.85,12.88,3.79,3.31,35.82
Wii Sports Resort,4,2009.0,15.75,11.01,3.28,2.96,33.0
Pokemon Red/Pokemon Blue,5,1996.0,11.27,8.89,10.22,1.0,31.37
Call of Duty: Black Ops,5795,8040.0,17.59,9.500000000000002,0.59,3.3600000000000003,31.029999999999998
Call of Duty: Modern Warfare 3,3459,8044.0,15.58,11.290000000000003,0.62,3.3500000000000005,30.83
New Super Mario Bros.,7,2006.0,11.38,9.23,6.5,2.9,30.01
Call of Duty: Black Ops II,5846,8048.0,14.080000000000002,11.049999999999999,0.72,3.88,29.72
Wii Play,8,2006.0,14.03,9.2,2.93,2.85,29.02
New Super Mario Bros. Wii,9,2009.0,14.59,7.06,4.7,2.26,28.62
Duck Hunt,10,1984.0,26.93,0.63,0.28,0.47,28.31
Call of Duty: Ghosts,9005,12078.0,14.919999999999998,9.049999999999999,0.48,2.9199999999999995,27.38
Super Mario World,184,3991.0,15.989999999999998,4.86,4.49,0.75,26.07
Call of Duty: Black Ops 3,9158,10075.0,11.889999999999999,9.56,0.43,3.42,25.32
Call of Duty: Modern Warfare 2,2442,6027.0,13.52,8.11,0.46,3.01,25.09
Nintendogs,11,2005.0,9.07,11.0,1.93,2.75,24.76
Grand Theft Auto: San Andreas,12844,8022.0,10.77,1.9600000000000002,0.41,10.72,23.86
Minecraft,6414,12085.0,10.819999999999999,8.85,1.15,2.9299999999999997,23.73
Mario Kart DS,12,2005.0,9.81,7.57,4.13,1.92,23.42
Pokemon Gold/Pokemon Silver,13,1999.0,9.0,6.18,7.2,0.71,23.1
Wii Fit,14,2007.0,8.94,8.03,3.6,2.15,22.72
Super Mario Bros. 3,206,3991.0,12.469999999999999,4.6899999999999995,4.67,0.66,22.48
Grand Theft Auto IV,2468,6024.0,11.53,7.6499999999999995,0.5800000000000001,2.7300000000000004,22.47
Super Mario 64,107,4000.0,11.99,5.96,3.16,1.21,22.310000000000002
Wii Fit Plus,15,2009.0,9.09,8.59,2.53,1.79,22.0
Call of Duty: Advanced Warfare,5533,10070.0,10.440000000000001,8.18,0.34,2.93,21.9
Kinect Adventures!,16,2010.0,14.97,4.94,0.24,1.67,21.82
Brain Age: Train Your Brain in Minutes a Day,20,2005.0,4.75,9.26,4.16,2.05,20.22
The Elder Scrolls V: Skyrim,514,6033.0,8.73,7.66,0.35,2.54,19.279999999999998
FIFA 15,17035,16112.0,3.1999999999999993,12.4,0.13,3.2899999999999996,19.02
Pokemon Diamond/Pokemon Pearl,21,2006.0,6.42,4.52,6.04,1.37,18.36
Call of Duty 4: Modern Warfare,3909,8028.0,9.969999999999999,5.819999999999999,0.42000000000000004,2.05,18.249999999999996
Super Mario Land,22,1989.0,10.83,2.71,4.18,0.42,18.14
Battlefield 3,738,6033.0,8.200000000000001,6.49,0.41,2.27,17.36
FIFA 14,29298,18117.0,2.84,11.14,0.2,2.9799999999999995,17.14
FIFA 16,10210,10075.0,2.9800000000000004,11.290000000000001,0.11,2.05,16.44
Guitar Hero III: Legends of Rock,17437,10035.0,11.15,2.5900000000000003,0.04,2.6399999999999997,16.400000000000002
Grand Theft Auto: Vice City,13759,4005.0,8.41,5.5200000000000005,0.47,1.79,16.189999999999998
FIFA Soccer 13,27327,16096.0,2.64,10.25,0.23,3.03,16.16
Call of Duty: World at War,11370,10040.0,9.299999999999999,4.75,0.0,1.8299999999999998,15.870000000000001
Pokemon Ruby/Pokemon Sapphire,26,2002.0,6.06,3.9,5.38,0.5,15.85
LEGO Star Wars: The Complete Saga,1599,8028.0,9.1,5.01,0.0,1.62,15.75
The Sims 3,8470,12060.0,4.279999999999999,9.6,0.05,1.53,15.45
